filename,anumber,report_type,sentence_count,prop,length
a072273_p37_5299_2006a_15247131.json,72273,Annual,58,0.2931034482758621,17
a072274_m26424_a2006_11384268.json,72274,Annual,39,0.15384615384615385,6
a072275_e63827_a2006_16400411.json,72275,Annual,41,0.43902439024390244,18
a072277_money-niagara atr_2005_12942412.json,72277,Annual,38,0.3421052631578947,13
a072278_tampaatr_2005_10576743.json,72278,Annual,64,0.40625,26
a072279_fenceline2005_16158667.json,72279,Annual,74,0.6486486486486487,48
a072284_gvjv_19-2005_2006a_12505377.json,72284,Annual,654,0.4740061162079504,310
a072285_c67_2003_2006a_12640575.json,72285,Annual,738,0.555555555555557,410
a072287_c270_1997_2006a_12922405.json,72287,Annual,148,0.43243243243243257,64
a072294_c268_1994_2006a_12967917.json,72294,Annual,178,0.4831460674157302,86
a072295_red2005 ann3  doc (2)_13874469.json,72295,Annual,190,0.7421052631578954,141
a072297_bw_ c176_1997_a2006_16607096.json,72297,Annual,168,0.6488095238095234,109
a072300_gn_2005a_17130162.json,72300,Annual,158,0.4936708860759493,78
a072301_c51_2003_2005a_12689345.json,72301,Annual,142,0.4788732394366194,68
a072302_c147_1996_2005a_11202321.json,72302,Annual,84,0.6904761904761904,58
a072303_c87_1994_2005a_15043877.json,72303,Annual,289,0.6228373702422146,180
a072335_nzul_ann_06_10720047.json,72335,Annual,289,0.4186851211072662,121
a072338_bh339_2006a_11317691.json,72338,Annual,129,0.5736434108527132,74
a072339_c1582005_2006_ar_02_hannscampnireview_10733130.json,72339,Annual,75,0.6266666666666665,47
a072339_c1582005_2006_ar_02_report_10717728.json,72339,Annual,87,0.5977011494252874,52
a072346_eqigold geological legend_12539538.json,72346,Annual,33,0.18181818181818182,6
a072347_r129_2006_10371082.json,72347,Annual,49,0.40816326530612246,20
a072361_e31_478_2005a_10630871.json,72361,Annual,102,0.33333333333333337,34
a072362_e471121annual2006_10740313.json,72362,Annual,78,0.20512820512820512,16
a072364_emu_lake_2005_annual_report_11900899.json,72364,Annual,777,0.3320463320463321,258
a072366_c167_2005 annual report_12603370.json,72366,Annual,220,0.4045454545454544,89
a072367_neg_wo_06-1a_15385676.json,72367,Annual,148,0.7027027027027029,104
a072369_wilthorpe annual report report 2006 vol 1_16888289.json,72369,Annual,78,0.47435897435897434,37
a072369_wilthorpe annual report report 2006 vol 2_16888478.json,72369,Annual,75,0.4133333333333333,31
a072371_ek-150-lam_e80_2559_2567_05_atr_17140816.json,72371,Annual,411,0.45742092457420885,188
a072375_ld_2006a_17530285.json,72375,Annual,121,0.25619834710743805,31
